nombre_entidad,ind_ent_ncontratos,ind_ent_pcontr_directa_num,ind_ent_val_contratos,ind_ent_pcontr_directa_val,ind_ent_dif_pcontr_directa,ind_ent_HHI_num,ind_ent_HHI_val,ind_ent_dif_HHI,ind_ent_Idiversidad,ind_entidad_ncontratistas,ind_ent_ratio_contratistas,ind_ent_IC4K_num,ind_ent_IC4K_val,dif_IC4K,ind_ent_padicion_val,ind_ent_padicion_time,ind_ent_padicion_time_val,ind_ent_dif_adicion,ind_ent_median_val,ind_ent_median_sd,ind_ent_median_rango,at_ent_nivel,at_ent_orden,at_ent_dep
BOGOTÁ D.C. - LOTERÍA DE BOGOTÁ,16,0.0,37646378067,0.0,0.0,1484.375,3852.1328562049575,-2367.7578562049575,0.09166666666666666,9,0.5625,0.6875,0.9666352715853683,-0.2791352715853683,0.5625,0.875,0.5625,0.3125,1519553651.5,2934887537.9557276,11445695268,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - ORQUESTA FILARMONICA,19,0.10526315789473684,3919755385,0.14955525088206492,-0.044292092987328086,747.9224376731299,1159.5662370663267,-411.6437993931968,0.023391812865497075,15,0.7894736842105263,0.42105263157894735,0.5621338631058479,-0.14108123152690055,0.15789473684210525,0.5789473684210527,0.05263157894736842,0.4210526315789474,144281113.0,156369756.8882531,611860577,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - PATRIMONIOS AUTONOMOS FIDUCIARIA COLPATRIA S.A.,22,0.0,13905016185,0.0,0.0,1776.8595041322308,1534.8073246880467,242.05217944418405,0.13852813852813853,12,0.5454545454545454,0.6363636363636364,0.6958271803694416,-0.059463544005805224,0.13636363636363635,0.09090909090909091,0.09090909090909091,-0.04545454545454544,226966196.5,929907408.1037203,3708514872,nacional,nac_centralizado,bogotá-d.c.
BOGOTÁ D.C. - PERSONERÍA DE BOGOTÁ,35,0.0,11669101856,0.0,0.0,448.9795918367348,910.4907669770519,-461.51117514031705,0.01680672268907563,27,0.7714285714285715,0.2857142857142857,0.5090764675214092,-0.22336218180712353,0.4857142857142857,0.5142857142857142,0.4,0.028571428571428525,178707003.0,456233019.246973,2208631296,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - SECRETARÍA DE DESARROLLO ECONOMICO,19,0.05263157894736842,4148468167,0.13436884328393112,-0.0817372643365627,581.7174515235454,840.1101993392505,-258.3927478157051,0.005847953216374269,18,0.9473684210526315,0.2631578947368421,0.49405642335738814,-0.23089852862054605,0.42105263157894735,0.631578947368421,0.42105263157894735,0.21052631578947367,153670000.0,161554599.92152146,504844476,territorial,nac_descentralizado,bogotá-d.c.
BOGOTÁ D.C. - SECRETARÍA DE EDUCACIÓN,280,0.08571428571428572,747344951498,0.007311153062649172,0.07840313265163654,61.98979591836727,152.53405085955484,-90.54425494118757,0.0026369687660010243,217,0.775,0.06785714285714285,0.13492356007474796,-0.0670664172176051,0.3821428571428571,0.45,0.31785714285714284,0.0678571428571429,662693255.0,3971002111.0675907,23242033480,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - SECRETARÍA DE GOBIERNO,40,0.125,10012391410,0.2606751872877491,-0.13567518728774908,350.0,594.0317881913293,-244.03178819132927,0.010256410256410256,33,0.825,0.225,0.4027749303700064,-0.17777493037000638,0.075,0.175,0.05,0.09999999999999999,176054393.5,212261145.630957,1125612252,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - SECRETARÍA DE HACIENDA DISTRITAL,85,0.03529411764705882,77322596719,0.017385621293673822,0.017908496353385,267.12802768166097,2787.7745929503076,-2520.6465652686466,0.015126050420168067,54,0.6352941176470588,0.2235294117647059,0.6775465026787779,-0.45401709091407205,0.10588235294117647,0.24705882352941178,0.058823529411764705,0.1411764705882353,187940000.0,4333463629.069015,39828355000,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - SECRETARÍA DE INTEGRACIÓN SOCIAL,179,0.027932960893854747,175393393249,0.018984139637876492,0.008948821255978255,123.90374832246158,977.4903337392263,-853.5865854167648,0.006842006151528466,120,0.6703910614525139,0.11731843575418995,0.5028855847254263,-0.3855671489712364,0.3687150837988827,0.5586592178770949,0.33519553072625696,0.18994413407821226,300000000.0,3872537269.4004216,46580959500,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - SECRETARÍA DISTRITAL DE AMBIENTE,60,0.15,16557491095,0.09865317840897199,0.051346821591028005,261.1111111111109,493.7261556614597,-232.61504455034878,0.0096045197740113,50,0.8333333333333334,0.2,0.34090514405920624,-0.14090514405920623,0.08333333333333333,0.23333333333333334,0.08333333333333333,0.15000000000000002,178420089.5,288474412.0551106,1761795000,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - SECRETARÍA DISTRITAL DE CULTURA  RECREACIÓN Y DEPORTE,24,0.0,2706701595,0.0,0.0,451.38888888888863,1237.6088989824057,-786.220010093517,0.0036231884057971015,23,0.9583333333333334,0.20833333333333334,0.5955993272320808,-0.3872659938987474,0.20833333333333334,0.4166666666666667,0.16666666666666666,0.20833333333333334,60395357.5,158401562.8058509,632859568,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - SECRETARÍA DISTRITAL DE LA MUJER,14,0.14285714285714285,3703210747,0.22032448778697605,-0.0774673449298332,816.3265306122448,925.0196239329109,-108.6930933206661,0.01098901098901099,13,0.9285714285714286,0.35714285714285715,0.48631955242054714,-0.12917669527769,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.14285714285714288,252373757.0,144808017.29396513,479820287,territorial,terri_dep_no_centr,bogotá-d.c.
